cycle,IF,ID,EX,MEM,WB,stalls_pending
35,"add x9, x9, x1","mov x8, x7",,"sub x7, x6, x5",,1
36,"add x9, x9, x1","mov x8, x7",,,"sub x7, x6, x5",0
37,"sub x9, x9, x2","add x9, x9, x1","mov x8, x7",,,0
38,"mov x10, x9","sub x9, x9, x2","add x9, x9, x1","mov x8, x7",,2
39,"mov x10, x9","sub x9, x9, x2",,"add x9, x9, x1","mov x8, x7",1
40,"mov x10, x9","sub x9, x9, x2",,,"add x9, x9, x1",0
41,"add x11, x10, x9","mov x10, x9","sub x9, x9, x2",,,2
42,"add x11, x10, x9","mov x10, x9",,"sub x9, x9, x2",,1
43,"add x11, x10, x9","mov x10, x9",,,"sub x9, x9, x2",0
44,"sub x12, x11, x10","add x11, x10, x9","mov x10, x9",,,2
45,"sub x12, x11, x10","add x11, x10, x9",,"mov x10, x9",,1
46,"sub x12, x11, x10","add x11, x10, x9",,,"mov x10, x9",0
47,"add x2, x12, x11","sub x12, x11, x10","add x11, x10, x9",,,2
48,"add x2, x12, x11","sub x12, x11, x10",,"add x11, x10, x9",,1
49,"add x2, x12, x11","sub x12, x11, x10",,,"add x11, x10, x9",0
50,"sub x3, x2, x12","add x2, x12, x11","sub x12, x11, x10",,,2
51,"sub x3, x2, x12","add x2, x12, x11",,"sub x12, x11, x10",,1
52,"sub x3, x2, x12","add x2, x12, x11",,,"sub x12, x11, x10",0
53,"mov x4, x3","sub x3, x2, x12","add x2, x12, x11",,,2
54,"mov x4, x3","sub x3, x2, x12",,"add x2, x12, x11",,1
55,"mov x4, x3","sub x3, x2, x12",,,"add x2, x12, x11",0
56,"add x5, x4, x2","mov x4, x3","sub x3, x2, x12",,,2
57,"add x5, x4, x2","mov x4, x3",,"sub x3, x2, x12",,1
58,"add x5, x4, x2","mov x4, x3",,,"sub x3, x2, x12",0
59,"sub x6, x5, x4","add x5, x4, x2","mov x4, x3",,,2
60,"sub x6, x5, x4","add x5, x4, x2",,"mov x4, x3",,1
61,"sub x6, x5, x4","add x5, x4, x2",,,"mov x4, x3",0
62,"mov x7, x6","sub x6, x5, x4","add x5, x4, x2",,,2
63,"mov x7, x6","sub x6, x5, x4",,"add x5, x4, x2",,1
64,"mov x7, x6","sub x6, x5, x4",,,"add x5, x4, x2",0
65,"add x8, x2, x3","mov x7, x6","sub x6, x5, x4",,,2
66,"add x8, x2, x3","mov x7, x6",,"sub x6, x5, x4",,1
67,"add x8, x2, x3","mov x7, x6",,,"sub x6, x5, x4",0
68,"sub x9, x4, x5","add x8, x2, x3","mov x7, x6",,,0
69,"mov x10, x6","sub x9, x4, x5","add x8, x2, x3","mov x7, x6",,0
70,"add x11, x7, x8","mov x10, x6","sub x9, x4, x5","add x8, x2, x3","mov x7, x6",0
71,"sub x12, x9, x10","add x11, x7, x8","mov x10, x6","sub x9, x4, x5","add x8, x2, x3",0
72,"add x1, x2, x3","sub x12, x9, x10","add x11, x7, x8","mov x10, x6","sub x9, x4, x5",1
73,"add x1, x2, x3","sub x12, x9, x10",,"add x11, x7, x8","mov x10, x6",0
74,"add x4, x1, x5","add x1, x2, x3","sub x12, x9, x10",,"add x11, x7, x8",0
75,"add x6, x4, x1","add x4, x1, x5","add x1, x2, x3","sub x12, x9, x10",,2
76,"add x6, x4, x1","add x4, x1, x5",,"add x1, x2, x3","sub x12, x9, x10",1
77,"add x6, x4, x1","add x4, x1, x5",,,"add x1, x2, x3",0
78,"mov x7, x6","add x6, x4, x1","add x4, x1, x5",,,2
79,"mov x7, x6","add x6, x4, x1",,"add x4, x1, x5",,1
80,"mov x7, x6","add x6, x4, x1",,,"add x4, x1, x5",0
81,"sub x8, x7, x6","mov x7, x6","add x6, x4, x1",,,2
82,"sub x8, x7, x6","mov x7, x6",,"add x6, x4, x1",,1
83,"sub x8, x7, x6","mov x7, x6",,,"add x6, x4, x1",0
84,"mov x9, x8","sub x8, x7, x6","mov x7, x6",,,2
